Start Date,End Date,UPC,ISRC/ISBN,Vendor Identifier,Quantity,Partner Share,Extended Partner Share,Partner Share Currency,USD,Label Share,Sales or Returns,Apple Identifier,Artist/Show/Developer/Author,Title,Label/Studio/Network/Developer/Publisher,Grid,Product Type Identifier,ISAN/Other Identifier,Country Of Sale,Pre-order Flag,Promo Code,Customer Price,Customer Currency
06/27/2021,07/31/2021,,INS641201382,INS641201382,1,1.74,1.74,AED,0.47,0.40,S,840888213,Dr Arun Madhavan,Ramashtakam,The Art Of Living,,H,,AE,,,2.99,AED
06/27/2021,07/31/2021,,USDCH1016850,USDCH1016850,1,0.99,0.99,AUD,0.50,0.42,S,972112913,Sachin Malap,Suraj Ki Garmi Se,Laughing Buddha,,H,,AU,,,1.69,AUD
06/27/2021,07/31/2021,6.12292E+11,,6.12292E+11,1,8.99,8.99,AUD,4.50,3.83,S,1444513655,"Trisha Parui, Nirmalya Roy, Minaakshi Majumdar",Transcendental,Ariha Audio,,I,,AU,,,14.99,AUD
06/27/2021,07/31/2021,,USDCH0730308,USDCH0730308,1,0.99,0.99,AUD,0.50,0.42,S,293127072,Sahil Jagtiani,Om Namo Bhagvate,Art Of Living/Axyz Music,,H,,AU,,,1.69,AUD
06/27/2021,07/31/2021,,USDCH1021717,USDCH1021717,1,0.99,0.99,AUD,0.50,0.42,S,1210612816,Madhuraa Bhattacharya,Govind Bolo Hari,Ariha Audio,,H,,AU,,,1.69,AUD
06/27/2021,07/31/2021,7.11099E+11,,7.11099E+11,1,8.99,8.99,AUD,4.50,3.83,S,1210612725,"Trisha Parui, Madhuraa Bhattacharya, Arjit Charaborty",Sublime Bhajans,Ariha Audio,,I,,AU,,,14.99,AUD
06/27/2021,07/31/2021,,ING111240010,ING111240010,1,0.7,0.7,CAD,0.55,0.47,S,656616664,V. Raghavendra Sharma,Sri Rama Dhyana Stotram,Gitaa Cassettes,,H,,CA,,,0.99,CAD
06/27/2021,07/31/2021,,INS641200747,INS641200747,1,0.7,0.7,CAD,0.55,0.47,S,1456460042,Siddharth Mohan,Vaid Guru Govinda,The Art Of Living,,H,,CA,,,0.99,CAD
06/27/2021,07/31/2021,,INM290907047,INM290907047,1,0.7,0.7,CAD,0.55,0.47,S,743662482,K. R. Syama,Vahathi Malayasameere,Mc Audios,,H,,CA,,,0.99,CAD
06/27/2021,07/31/2021,,INK120401819,INK120401819,1,0.7,0.7,CAD,0.55,0.47,S,865013941,"S. Saindhavi, R. Shruti, G. Gayathri Devi",Shivashtakam,Kosmik,,H,,CA,,,0.99,CAD
06/27/2021,07/31/2021,,INS641200749,INS641200749,1,0.7,0.7,CAD,2.0000000000,0.47,S,1456460044,Siddharth Mohan,Nityananda,The Art Of Living,,H,,CA,,,0.99,CAD
06/27/2021,07/31/2021,,INS641200748,INS641200748,1,0.7,0.7,CAD,0.55,0.47,S,1456460043,Siddharth Mohan,Satnaam,The Art Of Living,,H,,CA,,,0.99,CAD
