approx_daily_views,asset_id,asset_type,status,metadata_origination,custom_id,isrc,grid,upc,artist,asset_title,album,label,constituent_asset_id,active_reference_id,inactive_reference_id,match_policy,is_merged,ownership,conflicting_country_code,embedded_asset_id,asset_label,active_claims
0,A133852124813342,MUSIC_VIDEO,ACTIVE,YOUTUBE_USER,Mc6mWyDN37U,,,,Guddu Lal Yadav,Guddu Lal Yadav || Lauke Jobanwa Choliya Me Masak Ke || लऊके जोबनावा चोलीया में  मसक के || Hit Song,,,,y1weBSlvjs4,,Monetize in all countries,FALSE,100.00% Owned Everywhere,,,TNDMR,2
0,A371002898917846,MUSIC_VIDEO,ACTIVE,CMS_USER,aK6uwYsZgLg,,,,,MAH03890,,,,,,,FALSE,100.00% Owned Everywhere,,,TNDMARS,1
1,A528726914820776,SOUND_RECORDING,ACTIVE,DROP_BOX,INS360900129,INS360900129,,6.45E+11,"Vikram Thakor, Pamela Jain",Maa No Hindolo,Chandaliyo,Soor Mandir,,N-29zdnsb4k,,Monetize in all countries,FALSE,100.00% Owned Everywhere,,A463426809238107,SOOR,3
0,A589034585558607,MUSIC_VIDEO,ACTIVE,YOUTUBE_USER,6SjWGRPm4OA,,,,,#Bhojpuri Holi Song - सब लोगन के बाटत बारू - Sab Logan Ke Bataru - Bhojpuri Holi Songs 2019,,,,,,,FALSE,100.00% Owned Everywhere,,,TNDMARS,1
1,A900256732212501,ART_TRACK_VIDEO,ACTIVE,DROP_BOX,INV581850153,INV581850153,,1.92E+11,Mridul Krishna Shastri,Pyare Radhe Pyare Radhe,,BBM Series,,,5tTd-dIyqpE,,FALSE,100.00% Owned Everywhere,,,VMPL,1
0,A794407530091293,MUSIC_VIDEO,ACTIVE,CMS_USER,ugR2vM-Hh34,,,,,पलंग हिलल बा Palang Hilal Ba - Abhimanu Singh '' Sonu '' - Latest Bhojpuri Song 2019,,,,,,,FALSE,100.00% Owned Everywhere,,,AADI,1
0,A323486629117535,SOUND_RECORDING,ACTIVE,CMS_USER,USDCH1036607,USDCH1036607,,6.12E+11,Ranjeet Raja,Jisne Preet Raghurai Se Lagai,Man Mein Base Jinke Siya Ram,JMD Enterprises,,U5q720qMl6s,,Monetize in all countries,FALSE,100.00% Owned Everywhere,,A408410510976917,JMD,0
0,A697854633897278,MUSIC_VIDEO,ACTIVE,YOUTUBE_USER,RVgty4FWTug,,,,,मंगलवार भक्ति ! ॐ जय हनुमत वीरा ! नॉनस्टॉप हनुमान भजन ! Hanuman Aarti ! Hanuman Bhajan !,,,,,,,FALSE,100.00% Owned Everywhere,,,TNDM5,1
0,A749146319497842,ART_TRACK_VIDEO,ACTIVE,DROP_BOX,INA331000039,INA331000039,,8.49E+11,Karam Singh Parocha,Raaj Raaj Mil Bhen Nu,,Anand Cassette Industries,,,,,FALSE,100.00% Owned Everywhere,,,TNDMAC,1
0,A650480894200358,WEB,ACTIVE,YOUTUBE_USER,j5Fv_KKPXuU,,,,,LIVE : मंगलवार संध्या भक्त्ति - इस वंदना को सुनने से हनुमानजी प्रसन्न होकर सभी मनोकामनाएं पूर्ण करते,,,,,,,FALSE,100.00% Owned Everywhere,,,TNDMBKT,0
