claim_id,claim_status,claim_status_detail,claim_origin,claim_type,asset_id,video_id,uploader,channel_id,channel_display_name,video_title,views,matching_duration,longest_match,content_type,reference_video_id,reference_id,claim_policy_id,asset_policy_id,claim_policy_monetize,claim_policy_track,claim_policy_block,asset_policy_monetize,asset_policy_track,asset_policy_block,claim_created_date,video_upload_date,custom_id,video_duration_sec,asset_title,asset_labels,tms,director,studio,season,episode_number,episode_title,release_date,hfa_song_code,isrc,grid,artist,album,record_label,upc,iswc,writers
9q8hQ-10mdM,ACTIVE,,VIDEO_MATCH,AUDIOVISUAL,A509294317785271,,,,,,,231,234,UGC,GTwL3dz2x0A,zr1UGHX1Ao0,,CkOKYdWTp0E,,,,,,,05/12/2019,,,,,NHSA,,,,,,,,,,,,,,,,
ebLgwY-UkMs,ACTIVE,,VIDEO_MATCH,AUDIOVISUAL,A921785265639563,2xeVYz2Fv8E,,UCppMirLci0fsOdecWO9bdcw,samud soren,Santali video,13,298,298,UGC,xivhTbsglZQ,cATGP1KOT-U,,CkOKYdWTp0E,EXCLUDE CU IR KP SD SY,INCLUDE CU IR KP SD SY,,,,,15/06/2019,15/06/2019,xivhTbsglZQ,299,Santhali Song - Amak Jindagi | Santhali Video Album : HAI RE HAI,YASH,,,,,,,,,,,,,,,,
5fGB6_g_8vE,INACTIVE,STATUS_DETAIL_CLOSED_MANUALLY,VIDEO_MATCH,VISUAL,A478185660765163,,,,,,,157,120,UGC,IaYdqUkpIvg,g-CyNuJadIU,,CkOKYdWTp0E,,,,,,,10/10/2018,,IaYdqUkpIvg,,दुपट्टा तोहार सरके लागल - Choliya Ke Chot - Sonu Singh - New Bhojpuri Super Hit Song 2017,TFB,,,,,,,,,,,,,,,,
DGyfdHwKy-g,INACTIVE,STATUS_DETAIL_CLOSED_ASSET_TRANSFER,WEB_UPLOAD_BY_OWNER,AUDIOVISUAL,A792609644609268,LcyuQlndxhI,,UC9gyfaZ_ag9XxrlVqQ3g3QQ,Jinsharnam Media,क्या होती है सभी की सार्वजनिक समस्या... पुलक सागर,20350,0,0,UGC,,,CkOKYdWTp0E,,EXCLUDE CU IR KP SD SY,INCLUDE CU IR KP SD SY,,,,,15/12/2019,22/11/2019,,1659,क्या होती है सभी की सार्वजनिक समस्या... पुलक सागर,EOS,,,,,,,,,,,,,,,,
xx9FX8HjOqk,INACTIVE,STATUS_DETAIL_CLOSED_MANUALLY,VIDEO_MATCH,AUDIOVISUAL,A426745538237694,rGNLcIs5Mq8,,UC4ZvGuSznpbcLSBF7qoOpPw,Primetime Music Group,Canada Exclusive DJ Dula Lifestyle to Kings Remix,154,39,38,UGC,CKyoPkhIUgY,aUy6uLJB-BE,,CkOKYdWTp0E,,,,,,,07/12/2015,07/12/2015,,43,,DULA,,,,,,,,,,,,,,,,
Kw5TVhaNx70,ACTIVE,,VIDEO_MATCH,AUDIOVISUAL,A941865902316225,,,,,,,2411,1642,UGC,N8guDFQwyPM,D5VUU1FooWQ,S930898797358549,S930898797358549,EXCLUDE CU IN IR KP SD SY,INCLUDE CU IR KP SD SY,INCLUDE IN,EXCLUDE IN,,INCLUDE IN,21/11/2019,,qbr3saFIZWY,,CIF Episode 16 Apaharan,DANG,,,,,,,,,,,,,,,,
WRlRInopOiA,ACTIVE,,VIDEO_MATCH,VISUAL,A273061605336770,6Fs8ut4rNJw,,UCRo0Ux06JUVaBgMgqdGYYPA,,"March 8, 2019",1,239,238,UGC,D-wyWsd-BpM,MaVp7t1EZpE,,S357365230736924,,,EXCLUDE,,,,29/09/2020,08/03/2019,D-wyWsd-BpM,240,001 Chesta Final MP4 4K,SWAMI,,,,,,,,,,,,,,,,
spxdlaBMxYk,ACTIVE,,VIDEO_MATCH,AUDIOVISUAL,A855038820817655,KBsoznPQx8w,,UCQm10XefiPh--_qr4wgA20w,Vijay Kumar,Khesari Lal ka new song HD love ke bawandar,19,233,233,UGC,kGgCs4APrkU,W6GmK-u_ui4,,S831899242807069,EXCLUDE CU IR KP SD SY,INCLUDE CU IR KP SD SY,,,,,31/07/2020,11/01/2019,kGgCs4APrkU,234,#Khesari Lal Yadav सुपरहिट वीडियो - Jawani Ba Surrender | जवानी बा सरेंडर | Bhojpuri Full Video Song,YFPL,,,,,,,,,,,,,,,,
bJekrfWh7NA,INACTIVE,STATUS_DETAIL_CLOSED_MANUALLY,VIDEO_MATCH,AUDIOVISUAL,A115628410464361,KBsoznPQx8w,,UCQm10XefiPh--_qr4wgA20w,Vijay Kumar,Khesari Lal ka new song HD love ke bawandar,19,233,233,UGC,kGgCs4APrkU,wwPxsLo9n94,,S357365230736924,EXCLUDE CU IR KP SD SY,INCLUDE CU IR KP SD SY,,,,,11/01/2019,11/01/2019,kGgCs4APrkU,234,Surrender,YFPL,,,,,,,,,,,,,,,,
